timestep benthamHalfLookaheadBinary_pop benthamHalfLookaheadBinary_mttl benthamHalfLookaheadBinary_strv benthamHalfLookaheadBinary_comd benthamHalfLookaheadBinary_welt benthamHalfLookaheadBinary_maad egoisticHalfLookaheadBinary_pop egoisticHalfLookaheadBinary_mttl egoisticHalfLookaheadBinary_strv egoisticHalfLookaheadBinary_comd egoisticHalfLookaheadBinary_welt egoisticHalfLookaheadBinary_maad rawSugarscape_pop rawSugarscape_mttl rawSugarscape_strv rawSugarscape_comd rawSugarscape_welt rawSugarscape_maad
68 120.58 19.692100000000003 0.12 0.03 32713.630199999996 59.517700000000005 35.19 18.9816 0.06 0.33 9703.043399999995 37.2242 33.84 18.750100000000007 0.01 0.23 9633.762200000005 35.5384
69 121.06 19.7942 0.18 0.01 32825.7275 60.423500000000004 34.77 18.850999999999996 0.03 0.2 9707.343099999996 29.099 33.17 18.637200000000007 0.02 0.35 9524.370100000006 34.856700000000004
70 120.0 20.1879 0.18 0.0 32206.618700000003 69.7279 33.5 19.124399999999994 0.04 0.28 9428.639399999996 51.7459 31.97 18.9154 0.04 0.28 9197.890000000005 54.1134
71 120.67 20.1748 0.16 0.01 32370.99030000001 58.719300000000004 32.69 19.151 0.01 0.23 9302.511199999999 40.634 31.07 18.9654 0.01 0.24 9025.030400000003 45.311800000000005
72 121.69 20.114800000000006 0.09 0.01 32575.6357 59.323299999999996 32.31 18.962699999999995 0.02 0.19 9287.397699999998 32.2609 30.56 18.8398 0.03 0.17 8957.334600000002 32.9283
73 122.49 20.160799999999988 0.09 0.01 32726.9897 67.1917 31.64 19.000900000000005 0.02 0.17 9126.7236 43.3592 29.84 18.7556 0.01 0.23 8823.1016 40.916599999999995
74 123.61 20.103700000000003 0.06 0.02 33044.16059999999 58.595 31.39 18.747799999999998 0.03 0.21 9120.355999999994 27.6234 29.46 18.503200000000003 0.01 0.17 8785.282499999996 27.381700000000002
75 124.66 20.106 0.12 0.01 33182.298899999994 64.4443 30.84 18.594499999999996 0.01 0.22 9039.382899999995 38.176700000000004 28.91 18.354499999999994 0.0 0.2 8712.890299999997 30.795
76 125.39 20.126500000000004 0.11 0.01 33282.073399999994 68.5676 30.17 18.455299999999998 0.05 0.29 8923.459199999998 35.5699 28.26 18.248300000000008 0.02 0.17 8622.4468 37.99
77 126.23 20.218300000000003 0.09 0.04 33385.6827 67.1408 29.77 18.270699999999998 0.01 0.17 8894.028199999999 28.7667 27.85 18.03560000000001 0.02 0.13 8596.435300000003 30.3734
